Senin,Selasa,Rabu,Kamis,Jumat,Sabtu
AWP,REZ,BRI,OTU,LIM,VIS
BIL,RAR,AKA,CYN,LEX,REY
NTR,RAP,CEN,NNY,ZAQ,TGH
CLA,OIL,ALF,MAS,TNT,
TAL,NAB,LIM,DEY,RAD,
REZ,BHL,MAI,ALV,REY,
REN,RKH,DNR,JHS,RAM,
DNR,XCX,BDP,ALL,,
AWR,PER,REN,FLL,,
XCX,MNS,BHL,FAN,,
WAM,NTR,TIP,ALY,,
RAP,IAN,NNY,TNT,,
ARC,RAM,LEX,NST,,
EON,EON,RIS,IKI,,
AKA,CEN,JIN,ABD,,
NFB,AAA,ARF,RAD,,
ALL,JAY,DAR,VIS,,
WGG,LLY,RIZ,BDP,,
WNA,RHN,AMG,NAB,,
RHN,FAZ,FYN,,,
SOH,MZY,BIB,,,
RIN,TGH,IKI,,,
ONE,CYN,HAN,,,
MNS,FLL,GAA,,,
MAS,JHS,ALY,,,
GUS,NFB,VIN,,,
JAY,QIA,OYA,,,
DHY,BIL,DPR,,,
LLY,THI,TAN,,,
MYC,FYN,,,,
MIQ,OTU,,,,
JFT,MYC,,,,
RAR,TAL,,,,
MZY,EZL,,,,
DPR,MIQ,,,,
RKH,VAN,,,,
LIP,TIP,,,,
FAZ,ABD,,,,
NST,RIN,,,,
EZI,WNA,,,,
AAA,SOH,,,,
IAN,JIN,,,,
PER,ZAQ,,,,
VAN,HAN,,,,
DAR,ONE,,,,
THI,WAM,,,,
OIL,JFT,,,,
BRI,OYA,,,,
QIA,WGG,,,,
ARF,NOA,,,,
TAN,AWR,,,,
EZL,EZI,,,,
AZA,AMG,,,,
NOA,CLA,,,,
RIZ,LIP,,,,
DEY,GAA,,,,
BIB,MAI,,,,
ALF,DHY,,,,
ALV,AWP,,,,
,RIS,,,,
,AZA,,,,
,VIN,,,,
,ARC,,,,
,FAN,,,,
,GUS,,,,
