Senin,Selasa,Rabu,Kamis,Jumat,Sabtu
MAS,HAN,ARF,ABD,TNT,REY
JAY,VAN,NNY,NST,ZAQ,TGH
WAM,ARC,TAN,NNY,LIM,VIS
RKH,NFB,CEN,OTU,REY,
THI,OYA,BRI,NAB,LEX,
RAP,XCX,DNR,FAN,RAM,
EZL,TIP,MAI,TNT,RAD,
AWP,FYN,VIN,RAD,,
ALV,JHS,BDP,MAS,,
LLY,THI,FYN,FLL,,
AKA,TAL,GAA,ALY,,
NST,RIN,TIP,JHS,,
NOA,NTR,REN,BDP,,
SOH,OTU,IKI,ALL,,
DHY,EON,OYA,CYN,,
ARF,QIA,RIS,VIS,,
JFT,BIL,JIN,ALV,,
AWR,AAA,ALF,IKI,,
ALL,MAI,BHL,DEY,,
PER,FAZ,AKA,,,
RAR,AZA,HAN,,,
BIL,WGG,ALY,,,
MIQ,TGH,DPR,,,
WNA,AMG,BIB,,,
DEY,RKH,RIZ,,,
EON,ONE,LEX,,,
TAN,MYC,AMG,,,
OIL,CYN,DAR,,,
EZI,JFT,LIM,,,
TAL,FLL,,,,
AZA,AWP,,,,
DPR,ZAQ,,,,
RIN,EZL,,,,
MNS,WNA,,,,
CLA,MZY,,,,
IAN,JAY,,,,
REN,ABD,,,,
BRI,LLY,,,,
ARC,CLA,,,,
BIB,GAA,,,,
GUS,NAB,,,,
NFB,BHL,,,,
REZ,AWR,,,,
NTR,RAM,,,,
DNR,MIQ,,,,
QIA,RIS,,,,
XCX,JIN,,,,
WGG,DHY,,,,
ONE,REZ,,,,
VAN,RHN,,,,
RHN,MNS,,,,
FAZ,VIN,,,,
MYC,CEN,,,,
ALF,IAN,,,,
RIZ,RAP,,,,
AAA,OIL,,,,
LIP,PER,,,,
MZY,WAM,,,,
DAR,SOH,,,,
,FAN,,,,
,RAR,,,,
,NOA,,,,
,LIP,,,,
,GUS,,,,
,EZI,,,,
