Senin,Kamis,Rabu,Sabtu,Jumat,Selasa
NST,AZA,BIB,ALY,RIN,FYN
ARC,LLY,TIP,IKI,RIS,ABD
GUS,NST,SOH,THI,ZAQ,OTU
DAR,VIS,JIN,ZAQ,VIN,RAM
MIQ,ARC,NNY,TNT,MAI,WNA
MNS,EZI,BDP,MZY,RAM,CYN
EZI,DEY,AKA,VIS,LEX,NAB
ALF,RKH,RIN,SOH,ALL,TGH
FAZ,MZY,REN,JHS,FAN,FLL
BIL,ABD,NTR,CYN,LIM,
RHN,NAB,RIZ,REY,QIA,
OIL,GAA,VAN,OTU,REY,
RAR,DPR,DHY,OYA,RAD,
AWP,REZ,GUS,TGH,,
RIZ,AMG,THI,FLL,,
JAY,JFT,RAP,WAM,,
ALL,AWP,MYC,TIP,,
REZ,BHL,LEX,MYC,,
BIB,XCX,WNA,DHY,,
AKA,MNS,RIS,HAN,,
NTR,MIQ,GAA,,,
VAN,IAN,BHL,,,
DPR,DNR,OYA,,,
ALV,MAS,AMG,,,
EZL,AAA,TAL,,,
AAA,RAR,IKI,,,
RKH,FAN,VIN,,,
XCX,NNY,DAR,,,
WGG,BRI,LIM,,,
TAN,NFB,EON,,,
NFB,CEN,JAY,,,
RAP,EON,MAI,,,
AWR,ONE,WGG,,,
CLA,NOA,CEN,,,
LIP,EZL,HAN,,,
PER,AWR,OIL,,,
ONE,CLA,ARF,,,
JFT,ALV,ALY,,,
DNR,PER,ALF,,,
NOA,JHS,TAN,,,
MAS,JIN,BIL,,,
DEY,RAD,FYN,,,
QIA,TAL,LLY,,,
IAN,LIP,AZA,,,
BRI,FAZ,WAM,,,
REN,TNT,RHN,,,
