,Senin,Selasa,Rabu,Kamis,Jumat,Sabtu
AAA,1,1,0,0,0,0
ABD,0,1,0,1,0,0
AKA,1,0,1,0,0,0
ALF,1,0,1,0,0,0
ALL,1,0,0,1,0,0
ALV,1,0,0,1,0,0
ALY,0,0,1,1,0,0
AMG,0,1,1,0,0,0
ARC,1,1,0,0,0,0
ARF,1,0,1,0,0,0
AWP,1,1,0,0,0,0
AWR,1,1,0,0,0,0
AZA,1,1,0,0,0,0
BDP,0,0,1,1,0,0
BHL,0,1,1,0,0,0
BIB,1,0,1,0,0,0
BIL,1,1,0,0,0,0
BRI,1,0,1,0,0,0
CEN,0,1,1,0,0,0
CLA,1,1,0,0,0,0
CYN,0,1,0,1,0,0
DAR,1,0,1,0,0,0
DEY,1,0,0,1,0,0
DHY,1,1,0,0,0,0
DNR,1,0,1,0,0,0
DPR,1,0,1,0,0,0
EON,1,1,0,0,0,0
EZI,1,1,0,0,0,0
EZL,1,1,0,0,0,0
FAN,0,1,0,1,0,0
FAZ,1,1,0,0,0,0
FLL,0,1,0,1,0,0
FYN,0,1,1,0,0,0
GAA,0,1,1,0,0,0
GUS,1,1,0,0,0,0
HAN,0,1,1,0,0,0
IAN,1,1,0,0,0,0
IKI,0,0,1,1,0,0
JAY,1,1,0,0,0,0
JFT,1,1,0,0,0,0
JHS,0,1,0,1,0,0
JIN,0,1,1,0,0,0
LEX,0,0,1,0,1,0
LIM,0,0,1,0,1,0
LIP,1,1,0,0,0,0
LLY,1,1,0,0,0,0
MAI,0,1,1,0,0,0
MAS,1,0,0,1,0,0
MIQ,1,1,0,0,0,0
MNS,1,1,0,0,0,0
MYC,1,1,0,0,0,0
MZY,1,1,0,0,0,0
NAB,0,1,0,1,0,0
NFB,1,1,0,0,0,0
NNY,0,0,1,1,0,0
NOA,1,1,0,0,0,0
NST,1,0,0,1,0,0
NTR,1,1,0,0,0,0
OIL,1,1,0,0,0,0
ONE,1,1,0,0,0,0
OTU,0,1,0,1,0,0
OYA,0,1,1,0,0,0
PER,1,1,0,0,0,0
QIA,1,1,0,0,0,0
RAD,0,0,0,1,1,0
RAM,0,1,0,0,1,0
RAP,1,1,0,0,0,0
RAR,1,1,0,0,0,0
REN,1,0,1,0,0,0
REY,0,0,0,0,1,1
REZ,1,1,0,0,0,0
RHN,1,1,0,0,0,0
RIN,1,1,0,0,0,0
RIS,0,1,1,0,0,0
RIZ,1,0,1,0,0,0
RKH,1,1,0,0,0,0
SOH,1,1,0,0,0,0
TAL,1,1,0,0,0,0
TAN,1,0,1,0,0,0
TGH,0,1,0,0,0,1
THI,1,1,0,0,0,0
TIP,0,1,1,0,0,0
TNT,0,0,0,1,1,0
VAN,1,1,0,0,0,0
VIN,0,1,1,0,0,0
VIS,0,0,0,1,0,1
WAM,1,1,0,0,0,0
WGG,1,1,0,0,0,0
WNA,1,1,0,0,0,0
XCX,1,1,0,0,0,0
ZAQ,0,1,0,0,1,0
